Interaction_ID,Date,Agent,Issue_Type,Priority,Channel,Response_Time_Minutes,Resolution_Time_Hours,Resolution_Status,FCR,Escalated,Quality_Score,CSAT,Compliance_Score
INT-00634,2025-01-01,Agent_20,Product Defect,High,Email,97.7,61.5,Resolved,Yes,No,92.1,5,91.0
INT-00959,2025-01-01,Agent_04,Product Defect,Low,WhatsApp,27.3,40.6,Resolved,Yes,No,81.2,4,94.9
INT-04216,2025-01-01,Agent_01,Product Defect,Medium,Chat,105.9,24.9,Escalated,Yes,No,76.7,4,86.1
INT-00829,2025-01-01,Agent_20,Payment Issue,Medium,Phone,61.7,19.5,Escalated,Yes,No,93.4,5,90.4
INT-01200,2025-01-01,Agent_19,Payment Issue,Low,Phone,84.7,9.1,In Progress,No,No,94.3,4,87.0
INT-01215,2025-01-01,Agent_13,App Crash,Medium,Chat,68.0,20.7,Resolved,Yes,No,87.4,5,89.3
INT-00476,2025-01-01,Agent_05,Delivery Delay,Low,Chat,171.7,17.9,Resolved,No,No,65.9,4,93.6
INT-00663,2025-01-01,Agent_16,General Inquiry,Low,Chat,131.8,15.0,Resolved,Yes,No,91.4,5,92.7
INT-00438,2025-01-01,Agent_14,App Crash,Low,Chat,88.7,24.1,Resolved,Yes,No,94.8,4,89.3
INT-03235,2025-01-01,Agent_10,Account Blocked,Medium,Email,40.5,37.1,Escalated,Yes,No,81.6,4,93.1
INT-03090,2025-01-01,Agent_09,General Inquiry,Low,Phone,72.4,36.8,In Progress,Yes,No,100.0,5,90.0
INT-03620,2025-01-01,Agent_07,Refund Issue,Medium,Email,41.8,19.2,Escalated,Yes,No,85.6,5,89.1
INT-03628,2025-01-01,Agent_02,Delivery Delay,Low,Email,58.8,22.8,Resolved,Yes,No,84.3,4,85.9
INT-00852,2025-01-01,Agent_13,Login Issue,Medium,Phone,138.9,29.9,Resolved,No,No,79.7,4,97.5
INT-01722,2025-01-01,Agent_18,Payment Issue,High,Chat,121.3,60.7,Escalated,Yes,Yes,81.7,4,93.6
INT-00123,2025-01-01,Agent_16,General Inquiry,Medium,Phone,125.2,33.1,Resolved,Yes,No,94.3,5,96.1
INT-02056,2025-01-01,Agent_12,Refund Issue,High,Phone,100.7,36.5,Resolved,Yes,No,85.4,5,93.1
INT-03298,2025-01-01,Agent_05,General Inquiry,High,WhatsApp,49.6,76.5,Resolved,Yes,No,82.6,4,87.5
INT-04838,2025-01-01,Agent_02,Login Issue,Medium,Chat,141.7,27.5,In Progress,No,No,64.5,4,90.0
INT-00739,2025-01-01,Agent_12,Payment Issue,High,WhatsApp,79.7,42.6,Resolved,Yes,No,87.3,5,97.0
INT-02000,2025-01-01,Agent_11,Delivery Delay,Low,Chat,107.4,28.3,Resolved,Yes,No,80.3,4,92.2
INT-01138,2025-01-01,Agent_15,Login Issue,Medium,Email,40.2,18.2,In Progress,Yes,No,98.2,5,86.1
INT-04072,2025-01-01,Agent_19,Delivery Delay,Medium,Phone,48.8,95.7,Resolved,Yes,No,78.5,4,96.7
INT-01146,2025-01-01,Agent_15,General Inquiry,Low,Phone,86.3,26.3,Escalated,Yes,Yes,87.3,4,91.0
INT-01006,2025-01-01,Agent_01,Product Defect,Critical,Email,131.2,57.0,In Progress,Yes,No,67.7,3,94.0
INT-01969,2025-01-01,Agent_12,Payment Issue,Critical,Phone,127.8,36.7,Resolved,No,No,74.6,5,84.2
INT-01974,2025-01-01,Agent_02,Account Blocked,Medium,Email,44.7,30.5,Resolved,Yes,No,80.8,4,85.1
INT-03353,2025-01-02,Agent_08,Login Issue,Critical,Chat,52.9,76.6,Resolved,No,No,72.6,5,91.4
INT-00248,2025-01-02,Agent_04,General Inquiry,Medium,Chat,109.9,17.9,Resolved,Yes,No,84.6,5,85.5
INT-01279,2025-01-02,Agent_04,Payment Issue,Low,Phone,240.0,35.3,Resolved,Yes,No,90.9,5,88.5
INT-02347,2025-01-02,Agent_16,General Inquiry,Medium,WhatsApp,44.9,14.8,Resolved,No,No,83.3,5,99.5
INT-03171,2025-01-02,Agent_19,App Crash,Medium,Chat,30.6,23.7,Resolved,Yes,No,100.0,5,96.2
INT-03360,2025-01-02,Agent_08,App Crash,High,Email,49.5,38.2,Resolved,Yes,No,70.6,4,88.2
INT-02590,2025-01-02,Agent_06,Delivery Delay,Low,Chat,36.9,26.3,Resolved,Yes,No,85.6,5,80.7
INT-03838,2025-01-02,Agent_13,Payment Issue,Medium,Email,145.7,19.2,In Progress,Yes,No,87.9,5,96.8
INT-01932,2025-01-02,Agent_06,Refund Issue,Low,Email,46.8,29.2,Escalated,No,No,72.4,4,93.9
INT-00065,2025-01-02,Agent_17,Product Defect,Medium,Chat,53.5,35.1,Resolved,Yes,No,90.6,5,99.9
INT-04280,2025-01-02,Agent_04,Payment Issue,Medium,Chat,99.0,33.4,Resolved,Yes,No,80.0,4,86.0
INT-04509,2025-01-02,Agent_16,Product Defect,Medium,Phone,62.4,50.3,Resolved,Yes,No,86.7,5,100.0
INT-00482,2025-01-02,Agent_10,Product Defect,Medium,Chat,221.9,64.2,Escalated,No,Yes,67.3,3,84.9
INT-01642,2025-01-02,Agent_01,Refund Issue,High,Phone,90.3,65.0,Resolved,No,No,69.6,4,90.5
INT-02244,2025-01-02,Agent_13,Payment Issue,High,Phone,93.6,37.5,In Progress,Yes,No,90.3,5,88.9
INT-02643,2025-01-02,Agent_11,Login Issue,High,WhatsApp,122.2,46.6,In Progress,No,No,74.2,4,98.5
INT-02295,2025-01-02,Agent_12,Payment Issue,Low,Chat,13.3,33.6,Resolved,Yes,No,88.6,4,93.2
INT-04390,2025-01-02,Agent_09,Product Defect,High,Phone,162.9,51.8,Resolved,No,No,65.0,3,91.9
INT-03337,2025-01-02,Agent_12,Login Issue,Medium,Phone,37.5,21.3,Resolved,No,No,89.8,5,88.0
INT-04801,2025-01-02,Agent_04,Login Issue,Low,Chat,93.8,34.6,Resolved,Yes,No,81.8,4,84.6
INT-00019,2025-01-02,Agent_14,Payment Issue,Low,Email,127.6,14.7,Escalated,Yes,Yes,84.8,4,88.5
INT-02165,2025-01-02,Agent_15,Payment Issue,High,Chat,91.9,37.3,Resolved,Yes,No,83.0,5,91.0
INT-00194,2025-01-02,Agent_03,Account Blocked,Medium,WhatsApp,112.4,24.3,In Progress,Yes,No,73.7,4,90.5
INT-02910,2025-01-02,Agent_20,Product Defect,Low,Chat,23.4,48.4,Escalated,Yes,No,94.8,5,100.0
INT-04861,2025-01-02,Agent_17,Product Defect,Low,Chat,100.3,71.1,Escalated,Yes,No,84.9,5,88.6
INT-01805,2025-01-02,Agent_12,Login Issue,Critical,Phone,81.3,42.1,Resolved,Yes,No,81.6,5,92.7
INT-04358,2025-01-02,Agent_03,Refund Issue,Critical,Chat,42.7,53.8,Resolved,Yes,No,73.1,5,87.9
INT-00729,2025-01-03,Agent_20,Account Blocked,Medium,Chat,102.2,32.5,Resolved,Yes,No,93.2,5,94.3
INT-00870,2025-01-03,Agent_07,Product Defect,High,Chat,94.4,67.7,Escalated,Yes,Yes,56.9,3,79.0
INT-04731,2025-01-03,Agent_03,Delivery Delay,Medium,Chat,80.7,28.8,Resolved,Yes,No,78.3,4,86.9
INT-02290,2025-01-03,Agent_14,Refund Issue,Medium,Chat,194.3,84.8,In Progress,Yes,No,74.9,4,90.3
INT-01852,2025-01-03,Agent_05,Delivery Delay,Medium,Chat,160.3,92.1,Resolved,No,No,70.2,4,90.6
INT-04158,2025-01-03,Agent_14,Login Issue,High,Phone,170.8,30.8,In Progress,Yes,No,89.8,5,94.4
INT-02993,2025-01-03,Agent_10,Refund Issue,High,Phone,70.4,43.0,Resolved,Yes,No,83.1,5,91.2
INT-04231,2025-01-03,Agent_02,Payment Issue,High,Chat,86.6,44.4,Escalated,No,No,67.9,4,90.3
INT-00667,2025-01-03,Agent_01,Account Blocked,Critical,WhatsApp,84.4,61.8,Escalated,Yes,Yes,63.9,4,81.1
INT-00220,2025-01-03,Agent_06,Delivery Delay,High,Chat,80.6,96.0,Escalated,Yes,Yes,61.1,4,86.3
INT-03643,2025-01-03,Agent_14,Payment Issue,Medium,Email,82.1,38.9,Escalated,Yes,No,88.8,4,96.7
INT-02656,2025-01-03,Agent_10,Login Issue,High,WhatsApp,117.0,66.6,Escalated,No,Yes,68.3,3,91.0
INT-04896,2025-01-03,Agent_10,Login Issue,Medium,WhatsApp,138.7,34.3,Resolved,Yes,No,76.7,4,96.4
INT-00168,2025-01-03,Agent_18,Login Issue,Medium,WhatsApp,64.9,48.2,Resolved,Yes,No,92.1,5,90.1
INT-03961,2025-01-03,Agent_17,App Crash,High,Phone,97.3,36.5,In Progress,No,No,78.4,4,88.7
INT-00969,2025-01-03,Agent_04,Payment Issue,Low,Chat,73.7,17.6,Resolved,Yes,No,76.6,4,84.8
INT-02675,2025-01-03,Agent_13,Delivery Delay,Medium,Phone,88.3,44.5,In Progress,Yes,No,83.3,5,90.2
INT-00753,2025-01-03,Agent_13,Payment Issue,Medium,Phone,75.9,35.6,Resolved,Yes,No,78.1,4,93.1
INT-01557,2025-01-03,Agent_10,Product Defect,Low,WhatsApp,89.5,64.5,Resolved,No,No,78.2,5,91.2
INT-02111,2025-01-03,Agent_15,Refund Issue,Low,WhatsApp,163.8,13.4,Resolved,No,No,85.9,4,97.3
INT-03812,2025-01-03,Agent_13,Payment Issue,High,Chat,43.5,50.2,In Progress,Yes,No,84.7,4,88.6
INT-02731,2025-01-03,Agent_13,Payment Issue,Critical,Phone,153.0,37.2,Resolved,Yes,No,74.4,3,91.0
INT-01538,2025-01-03,Agent_04,Account Blocked,Low,Phone,54.1,16.1,Resolved,Yes,No,90.4,5,92.5
INT-02787,2025-01-03,Agent_12,Payment Issue,High,WhatsApp,122.1,54.2,Resolved,No,No,76.1,4,99.0
INT-02319,2025-01-03,Agent_14,Refund Issue,Medium,Phone,107.1,45.9,Resolved,Yes,No,85.5,4,92.8
INT-04534,2025-01-03,Agent_07,Delivery Delay,Low,Chat,168.3,38.7,Resolved,Yes,No,74.1,4,99.6
INT-01495,2025-01-03,Agent_09,Login Issue,High,Chat,142.6,50.5,Resolved,Yes,No,73.0,4,94.4
INT-03349,2025-01-03,Agent_18,Refund Issue,Critical,Email,106.8,40.1,Resolved,Yes,No,79.0,4,98.5
INT-03446,2025-01-04,Agent_06,General Inquiry,Low,Email,71.5,25.3,Resolved,Yes,No,90.4,4,94.6
INT-00315,2025-01-04,Agent_20,App Crash,Low,Email,96.9,34.5,Resolved,Yes,No,93.5,5,94.5
INT-04525,2025-01-04,Agent_08,Login Issue,Low,WhatsApp,184.3,15.7,Resolved,Yes,No,83.6,4,90.8
INT-02452,2025-01-04,Agent_13,Account Blocked,High,WhatsApp,38.5,42.1,Resolved,Yes,No,84.8,5,90.9
INT-01462,2025-01-04,Agent_18,Account Blocked,High,Chat,151.1,35.0,Resolved,No,No,77.6,4,95.4
INT-03706,2025-01-04,Agent_07,Login Issue,Low,Chat,28.4,34.2,In Progress,Yes,No,89.0,5,88.6
INT-01525,2025-01-04,Agent_13,Login Issue,Medium,WhatsApp,87.8,26.4,Resolved,Yes,No,82.3,5,90.0
INT-02771,2025-01-04,Agent_14,General Inquiry,Medium,Phone,151.0,34.1,Resolved,No,No,83.3,4,95.4
INT-03900,2025-01-04,Agent_06,Delivery Delay,Critical,Phone,108.7,66.5,Escalated,No,Yes,47.7,3,78.2
INT-03567,2025-01-04,Agent_13,Account Blocked,Critical,Phone,95.8,52.2,Escalated,Yes,Yes,74.1,4,83.4
INT-00742,2025-01-04,Agent_07,Account Blocked,Low,Chat,63.1,14.1,Resolved,Yes,No,93.8,5,90.6
INT-01696,2025-01-04,Agent_11,Payment Issue,High,Email,94.7,47.2,Resolved,Yes,No,83.0,4,94.1
INT-01895,2025-01-04,Agent_02,Payment Issue,Low,Phone,45.8,25.5,Resolved,No,No,76.5,4,92.4
INT-03637,2025-01-04,Agent_12,Refund Issue,High,Email,180.7,46.2,Resolved,Yes,No,82.5,5,95.9
INT-03993,2025-01-04,Agent_04,Delivery Delay,Medium,Chat,98.2,28.7,Resolved,Yes,No,81.0,5,88.6
INT-00478,2025-01-04,Agent_14,General Inquiry,Critical,Chat,118.7,44.4,Escalated,Yes,No,91.4,5,89.3
INT-03226,2025-01-04,Agent_20,App Crash,High,Chat,76.6,60.5,Escalated,Yes,Yes,81.2,4,94.8
INT-03094,2025-01-04,Agent_19,General Inquiry,High,Email,123.6,56.6,Resolved,No,No,79.4,4,93.5
INT-00935,2025-01-04,Agent_06,Delivery Delay,Medium,Email,70.3,43.2,Resolved,Yes,No,73.1,5,82.6
INT-02722,2025-01-04,Agent_16,Payment Issue,Critical,WhatsApp,100.2,61.1,Resolved,No,No,72.5,4,89.8
INT-03007,2025-01-04,Agent_04,Payment Issue,Critical,Chat,196.4,38.4,Resolved,Yes,No,65.2,3,84.2
INT-00069,2025-01-04,Agent_02,Account Blocked,Medium,WhatsApp,54.4,37.6,Resolved,Yes,No,81.1,4,84.1
INT-03025,2025-01-04,Agent_15,Payment Issue,Medium,Email,49.7,18.9,Resolved,No,No,83.1,5,90.8
INT-02453,2025-01-04,Agent_12,Account Blocked,Medium,Email,108.5,26.0,Resolved,Yes,No,95.0,4,90.7
INT-00918,2025-01-04,Agent_11,Login Issue,Low,Phone,27.0,28.7,Resolved,Yes,No,92.6,5,81.5
INT-02811,2025-01-04,Agent_06,Account Blocked,Medium,Phone,139.0,23.1,Escalated,Yes,No,78.2,4,96.8
INT-02729,2025-01-04,Agent_18,Payment Issue,Low,Phone,25.8,16.6,In Progress,Yes,No,82.6,5,98.0
INT-04133,2025-01-04,Agent_04,Refund Issue,High,Email,110.5,39.8,Resolved,Yes,No,82.2,4,84.0
INT-04950,2025-01-04,Agent_14,Account Blocked,Critical,Chat,154.4,76.9,Resolved,Yes,No,87.6,5,88.0
INT-01311,2025-01-04,Agent_10,Delivery Delay,Low,Phone,25.4,50.0,Resolved,No,No,74.4,4,94.2
INT-00124,2025-01-05,Agent_06,General Inquiry,Critical,Email,112.6,38.5,Resolved,Yes,No,84.3,5,84.5
INT-04305,2025-01-05,Agent_13,Delivery Delay,High,Chat,137.2,48.4,Resolved,Yes,No,86.6,4,85.5
INT-03940,2025-01-05,Agent_18,Refund Issue,Medium,Phone,103.7,44.0,Resolved,Yes,No,89.1,5,96.7
INT-01288,2025-01-05,Agent_03,App Crash,Medium,WhatsApp,33.4,20.4,Resolved,Yes,No,78.0,5,93.8
INT-04848,2025-01-05,Agent_16,Login Issue,Low,Chat,128.3,21.6,In Progress,Yes,No,94.1,5,89.1
INT-02327,2025-01-05,Agent_07,Product Defect,Medium,Phone,177.7,31.0,In Progress,Yes,No,80.3,4,88.8
INT-00601,2025-01-05,Agent_20,App Crash,High,WhatsApp,75.2,54.1,Resolved,No,No,80.1,5,90.6
INT-02909,2025-01-05,Agent_19,Account Blocked,Low,Email,172.1,18.5,Resolved,No,No,82.9,4,100.0
INT-02674,2025-01-05,Agent_20,Payment Issue,Low,Email,124.2,15.3,Resolved,No,No,92.3,5,97.1
