Interaction_ID,Customer_ID,Interaction_Date,Channel,Team,Customer_Segment,Issue_Category,Priority,Agent_ID,Previous_Interactions,Response_Time_Min,Resolution_Time_Min,Escalated,FCR,CSAT,Resolution_Status,SLA_Breached
INT122055,CUST15601,2025-01-01 00:00:00,Email,Tier 2 Support,Premium,Product Inquiry,Medium,AG145,0,189.7,113.4,1,1,3.0,Pending,1
INT108664,CUST13753,2025-01-01 01:00:00,Phone,Technical Support,Consumer,Refund,Medium,AG126,0,38.9,155.5,0,1,4.0,Resolved,0
INT125862,CUST11918,2025-01-01 01:00:00,Chat,Technical Support,Consumer,Complaint,Medium,AG177,3,30.5,140.3,0,1,4.0,Pending,0
INT102482,CUST11863,2025-01-01 01:00:00,Email,Billing,Consumer,Account Access,Low,AG118,3,193.4,109.2,1,1,4.0,Resolved,0
INT102330,CUST18368,2025-01-01 01:00:00,Phone,Tier 2 Support,Consumer,Account Access,Low,AG134,6,36.9,134.4,0,1,5.0,Resolved,0
INT112379,CUST11562,2025-01-01 02:00:00,Phone,Tier 1 Support,Consumer,Billing,High,AG118,1,20.9,66.2,0,1,5.0,Resolved,0
INT105943,CUST11050,2025-01-01 02:00:00,Email,Tier 2 Support,Consumer,Delivery,Critical,AG155,3,220.0,191.0,0,0,2.0,Resolved,1
INT129699,CUST17508,2025-01-01 03:00:00,Phone,Tier 1 Support,Premium,Account Access,Medium,AG110,1,50.0,37.0,0,1,5.0,Resolved,0
INT119805,CUST16194,2025-01-01 04:00:00,Chat,Tier 1 Support,Premium,Refund,Medium,AG177,0,12.1,46.2,0,1,5.0,Resolved,0
INT100543,CUST11042,2025-01-01 04:00:00,Phone,Technical Support,Small Business,Billing,Low,AG162,2,62.7,111.2,0,1,5.0,Resolved,0
INT109204,CUST12154,2025-01-01 04:00:00,Phone,Tier 1 Support,Consumer,Billing,High,AG141,4,56.7,83.4,1,0,3.0,Transferred,0
INT119946,CUST15387,2025-01-01 05:00:00,Social Media,Tier 1 Support,Enterprise,Billing,High,AG114,2,79.8,73.7,0,1,4.0,Resolved,1
INT101244,CUST16221,2025-01-01 05:00:00,Web,Technical Support,Consumer,Billing,Medium,AG110,1,36.2,167.0,0,1,4.0,Resolved,0
INT118567,CUST16812,2025-01-01 05:00:00,Phone,Technical Support,Premium,Technical Issue,Medium,AG146,4,18.2,137.1,0,1,4.0,Resolved,0
INT104305,CUST15192,2025-01-01 06:00:00,Chat,Billing,Consumer,Technical Issue,Medium,AG116,0,45.9,76.9,0,1,4.0,Resolved,0
INT114300,CUST17987,2025-01-01 07:00:00,Email,Retention,Small Business,Complaint,Low,AG144,4,204.6,140.5,0,0,3.0,Resolved,0
INT103766,CUST14924,2025-01-01 07:00:00,Phone,Retention,Small Business,Complaint,Medium,AG156,1,38.9,85.6,1,1,4.0,Resolved,0
INT119102,CUST11449,2025-01-01 08:00:00,Chat,Billing,Premium,Product Inquiry,Low,AG121,0,35.6,68.4,0,1,5.0,Resolved,0
INT102813,CUST12823,2025-01-01 09:00:00,Chat,Tier 2 Support,Small Business,Account Access,Critical,AG152,2,60.4,205.6,1,0,3.0,Pending,1
INT101290,CUST15111,2025-01-01 09:00:00,Phone,Tier 1 Support,Enterprise,Billing,Low,AG171,1,25.2,39.1,0,1,5.0,Resolved,0
INT100938,CUST12337,2025-01-01 09:00:00,Email,Tier 2 Support,Consumer,Technical Issue,Medium,AG127,3,219.7,117.7,1,1,4.0,Resolved,1
INT112705,CUST12697,2025-01-01 10:00:00,Chat,Tier 1 Support,Premium,Technical Issue,Low,AG163,4,68.6,72.4,0,0,5.0,Resolved,0
INT118845,CUST16583,2025-01-01 11:00:00,Chat,Billing,Small Business,Delivery,Medium,AG166,4,101.6,77.4,0,0,4.0,Resolved,0
INT115173,CUST17342,2025-01-01 11:00:00,Phone,Technical Support,Premium,Account Access,High,AG106,4,26.4,191.3,0,1,5.0,Resolved,0
INT114399,CUST12667,2025-01-01 11:00:00,Chat,Technical Support,Consumer,Refund,Low,AG128,0,18.8,123.2,0,0,4.0,Resolved,0
INT107320,CUST16480,2025-01-01 11:00:00,Email,Tier 1 Support,Consumer,Complaint,High,AG118,0,212.4,48.5,0,1,4.0,Resolved,1
INT102720,CUST15413,2025-01-01 11:00:00,Social Media,Retention,Small Business,Billing,Low,AG180,0,81.0,80.2,0,1,3.0,Resolved,0
INT121224,CUST16040,2025-01-01 12:00:00,Email,Tier 2 Support,Consumer,Billing,High,AG163,3,203.3,147.7,0,1,4.0,Resolved,1
INT112583,CUST12950,2025-01-01 12:00:00,Chat,Tier 1 Support,Consumer,Complaint,Medium,AG151,2,36.5,56.2,1,0,3.0,Resolved,0
INT110775,CUST13079,2025-01-01 12:00:00,Social Media,Billing,Enterprise,Delivery,Low,AG164,1,74.3,57.7,0,1,5.0,Resolved,0
INT102493,CUST10059,2025-01-01 13:00:00,Phone,Tier 2 Support,Consumer,Delivery,Low,AG139,2,27.7,88.9,0,1,4.0,Resolved,0
INT129826,CUST12524,2025-01-01 14:00:00,Email,Technical Support,Consumer,Delivery,Low,AG159,2,235.4,111.3,0,0,3.0,Resolved,0
INT118592,CUST12934,2025-01-01 14:00:00,Email,Tier 2 Support,Consumer,Cancellation,High,AG120,4,214.0,137.6,1,0,3.0,Pending,1
INT116845,CUST15086,2025-01-01 15:00:00,Chat,Tier 1 Support,Consumer,Product Inquiry,High,AG165,1,44.3,120.8,1,0,4.0,Resolved,0
INT116937,CUST18692,2025-01-01 15:00:00,Web,Tier 1 Support,Consumer,Product Inquiry,High,AG138,3,54.8,115.4,0,1,5.0,Resolved,0
INT103193,CUST13865,2025-01-01 16:00:00,Phone,Retention,Consumer,Billing,Medium,AG143,2,73.7,85.3,1,1,4.0,Pending,0
INT129032,CUST14975,2025-01-01 16:00:00,Chat,Tier 2 Support,Enterprise,Refund,Medium,AG164,1,20.2,164.0,0,1,5.0,Resolved,0
INT107161,CUST14995,2025-01-01 16:00:00,Phone,Technical Support,Small Business,Technical Issue,Medium,AG112,1,33.3,176.9,0,1,4.0,Resolved,0
